; CSV, generated by DSView, sampled on 2026-07-04 11:40:07
; Channels (2/16)
; Sample rate: 1 MHz
; Sample count: 100.352 K Samples
Time(s), SDA, SCL
0,1,1
0.000983,0,1
0.000984,0,0
0.000987,0,1
0.000988,0,0
0.000989,0,1
0.000991,0,0
0.000992,0,1
0.000993,0,0
0.000995,0,1
0.000996,0,0
0.000997,0,1
0.000999,0,0
0.001,0,1
0.001001,0,0
0.001002,1,0
0.001003,1,1
0.001004,0,0
0.001005,0,1
0.001007,1,0
0.001008,1,1
0.001009,1,0
0.00101,0,0
0.001011,0,1
0.001013,1,1
0.001022,0,1
0.001023,0,0
0.001026,0,1
0.001027,0,0
0.001028,0,1
0.00103,0,0
0.001031,0,1
0.001032,0,0
0.001034,0,1
0.001035,0,0
0.001036,0,1
0.001038,1,0
0.001039,1,1
0.00104,1,0
0.001041,0,0
0.001042,0,1
0.001043,0,0
0.001044,0,1
0.001046,1,0
0.001047,1,1
0.001049,0,0
0.00105,0,1
0.001052,1,1
0.001061,0,1
0.001062,0,0
0.001064,0,1
0.001066,0,0
0.001067,0,1
0.001068,0,0
0.00107,0,1
0.001071,0,0
0.001072,0,1
0.001074,0,0
0.001075,0,1
0.001076,0,0
0.001077,1,0
0.001078,1,1
0.001079,1,0
0.00108,1,1
0.001082,0,0
0.001083,0,1
0.001085,1,0
0.001086,1,1
0.001087,1,0
0.001088,0,0
0.001089,0,1
0.00109,1,1
0.0011,0,1
0.001101,0,0
0.001103,0,1
0.001105,0,0
0.001106,0,1
0.001107,0,0
0.001109,0,1
0.00111,0,0
0.001111,0,1
0.001113,1,0
0.001114,1,1
0.001115,1,0
0.001116,0,0
0.001117,0,1
0.001118,0,0
0.001119,0,1
0.001121,0,0
0.001122,0,1
0.001123,0,0
0.001124,1,0
0.001125,1,1
0.001126,1,0
0.001127,0,0
0.001128,0,1
0.001129,1,1
0.001138,0,1
0.00114,0,0
0.001142,0,1
0.001143,0,0
0.001145,0,1
0.001146,0,0
0.001147,0,1
0.001149,0,0
0.00115,0,1
0.001151,0,0
0.001152,1,0
0.001153,1,1
0.001154,0,0
0.001155,0,1
0.001157,1,0
0.001158,1,1
0.00116,0,0
0.001161,0,1
0.001162,0,0
0.001163,1,0
0.001164,1,1
0.001165,0,0
0.001167,0,1
0.001168,1,1
0.001177,0,1
0.001178,0,0
0.001181,0,1
0.001182,0,0
0.001184,0,1
0.001185,0,0
0.001186,0,1
0.001188,0,0
0.001189,0,1
0.00119,0,0
0.001191,1,0
0.001192,1,1
0.001193,1,0
0.001194,1,1
0.001196,0,0
0.001197,0,1
0.001198,0,0
0.0012,0,1
0.001201,1,0
0.001202,1,1
0.001204,0,0
0.001205,0,1
0.001207,1,1
0.001216,0,1
0.001217,0,0
0.00122,0,1
0.001221,0,0
0.001222,0,1
0.001224,0,0
0.001225,0,1
0.001226,0,0
0.001228,0,1
0.001229,0,0
0.00123,1,0
0.001231,1,1
0.001232,1,0
0.001233,1,1
0.001235,1,0
0.001236,1,1
0.001237,1,0
0.001238,0,0
0.001239,0,1
0.00124,1,0
0.001241,1,1
0.001243,0,0
0.001244,0,1
0.001246,1,1
0.001255,0,1
0.001256,0,0
0.001259,0,1
0.00126,0,0
0.001261,0,1
0.001263,0,0
0.001264,0,1
0.001265,0,0
0.001266,1,0
0.001267,1,1
0.001268,0,0
0.001269,0,1
0.001271,0,0
0.001272,0,1
0.001273,0,0
0.001275,0,1
0.001276,0,0
0.001277,0,1
0.001279,1,0
0.00128,1,1
0.001281,1,0
0.001282,0,0
0.001283,0,1
0.001285,1,1
0.001294,0,1
0.001295,0,0
0.001297,0,1
0.001299,0,0
0.0013,0,1
0.001301,0,0
0.001303,0,1
0.001304,0,0
0.001305,1,0
0.001306,1,1
0.001307,0,0
0.001308,0,1
0.00131,0,0
0.001311,0,1
0.001312,0,0
0.001313,1,0
0.001314,1,1
0.001315,0,0
0.001316,0,1
0.001318,1,0
0.001319,1,1
0.00132,1,0
0.001321,0,0
0.001322,0,1
0.001324,1,1
0.001333,0,1
0.001334,0,0
0.001336,0,1
0.001338,0,0
0.001339,0,1
0.00134,0,0
0.001342,0,1
0.001343,1,0
0.001344,1,1
0.001346,0,0
0.001347,0,1
0.001348,0,0
0.001349,1,0
0.00135,1,1
0.001351,0,0
0.001352,0,1
0.001354,0,0
0.001355,0,1
0.001356,0,0
0.001357,1,0
0.001358,1,1
0.001359,1,0
0.00136,0,0
0.001361,0,1
0.001362,1,1
0.001372,0,1
0.001373,0,0
0.001375,0,1
0.001377,0,0
0.001378,0,1
0.001379,0,0
0.001381,0,1
0.001382,1,0
0.001383,1,1
0.001385,0,0
0.001386,0,1
0.001387,0,0
0.001388,1,0
0.001389,1,1
0.00139,1,0
0.001391,1,1
0.001393,0,0
0.001394,0,1
0.001395,0,0
0.001396,1,0
0.001397,1,1
0.001398,1,0
0.001399,0,0
0.0014,0,1
0.001401,1,1
0.00141,0,1
0.001412,0,0
0.001414,0,1
0.001415,0,0
0.001417,0,1
0.001418,0,0
0.001419,0,1
0.001421,1,0
0.001422,1,1
0.001423,1,0
0.001425,1,1
0.001426,0,0
0.001427,0,1
0.001429,0,0
0.00143,0,1
0.001432,0,0
0.001433,0,1
0.001434,0,0
0.001435,1,0
0.001436,1,1
0.001437,0,0
0.001439,0,1
0.00144,1,1
0.001449,0,1
0.00145,0,0
0.001453,0,1
0.001454,0,0
0.001456,0,1
0.001457,0,0
0.001458,0,1
0.00146,1,0
0.001461,1,1
0.001462,1,0
0.001464,1,1
0.001465,0,0
0.001466,0,1
0.001468,1,0
0.001469,1,1
0.00147,1,0
0.001471,0,0
0.001472,0,1
0.001473,1,0
0.001474,1,1
0.001476,0,0
0.001477,0,1
0.001479,1,1
0.001488,0,1
0.001489,0,0
0.001492,0,1
0.001493,0,0
0.001494,0,1
0.001496,0,0
0.001497,0,1
0.001498,0,0
0.001499,1,0
0.0015,1,1
0.001501,1,0
0.001502,1,1
0.001504,1,0
0.001505,1,1
0.001507,0,0
0.001508,0,1
0.001509,0,0
0.001511,0,1
0.001512,1,0
0.001513,1,1
0.001515,0,0
0.001516,0,1
0.001518,1,1
0.001527,0,1
0.001528,0,0
0.001531,0,1
0.001532,0,0
0.001533,0,1
0.001535,0,0
0.001536,0,1
0.001537,0,0
0.001538,1,0
0.001539,1,1
0.00154,1,0
0.001541,1,1
0.001543,1,0
0.001544,1,1
0.001545,1,0
0.001547,1,1
0.001548,0,0
0.001549,0,1
0.001551,1,0
0.001552,1,1
0.001553,1,0
0.001554,0,0
0.001555,0,1
0.001557,1,1
0.001566,0,1
0.001567,0,0
0.001569,0,1
0.001571,0,0
0.001572,0,1
0.001573,0,0
0.001574,1,0
0.001575,1,1
0.001576,0,0
0.001578,0,1
0.001579,0,0
0.00158,0,1
0.001582,0,0
0.001583,0,1
0.001584,0,0
0.001586,0,1
0.001587,0,0
0.001588,0,1
0.00159,1,0
0.001591,1,1
0.001592,1,0
0.001593,0,0
0.001594,0,1
0.001595,1,1
0.001605,0,1
0.001606,0,0
0.001608,0,1
0.00161,0,0
0.001611,0,1
0.001612,0,0
0.001613,1,0
0.001614,1,1
0.001615,0,0
0.001616,0,1
0.001618,0,0
0.001619,0,1
0.00162,0,0
0.001622,0,1
0.001623,0,0
0.001624,1,1
0.001626,0,0
0.001627,0,1
0.001628,0,0
0.001629,1,0
0.00163,1,1
0.001631,1,0
0.001632,0,0
0.001633,0,1
0.001634,1,1
0.001644,0,1
0.001645,0,0
0.001647,0,1
0.001648,0,0
0.00165,0,1
0.001651,0,0
