Id,Time[ns],0:I²C: Address/Data
1,983000.00,Start
2,987000.00,Address write: 02
3,1005000.00,Write
4,1008000.00,NACK
5,1013000.00,Stop
6,1022000.00,Start
7,1026000.00,Address write: 04
8,1044000.00,Write
9,1047000.00,NACK
10,1052000.00,Stop
11,1061000.00,Start
12,1064000.00,Address write: 06
13,1083000.00,Write
14,1086000.00,NACK
15,1090000.00,Stop
16,1100000.00,Start
17,1103000.00,Address write: 08
18,1122000.00,Write
19,1125000.00,NACK
20,1129000.00,Stop
21,1138000.00,Start
22,1142000.00,Address write: 0A
23,1161000.00,Write
24,1164000.00,NACK
25,1168000.00,Stop
26,1177000.00,Start
27,1181000.00,Address write: 0C
28,1200000.00,Write
29,1202000.00,NACK
30,1207000.00,Stop
31,1216000.00,Start
32,1220000.00,Address write: 0E
33,1239000.00,Write
34,1241000.00,NACK
35,1246000.00,Stop
36,1255000.00,Start
37,1259000.00,Address write: 10
38,1277000.00,Write
39,1280000.00,NACK
40,1285000.00,Stop
41,1294000.00,Start
42,1297000.00,Address write: 12
43,1316000.00,Write
44,1319000.00,NACK
45,1324000.00,Stop
46,1333000.00,Start
47,1336000.00,Address write: 14
48,1355000.00,Write
49,1358000.00,NACK
50,1362000.00,Stop
51,1372000.00,Start
52,1375000.00,Address write: 16
53,1394000.00,Write
54,1397000.00,NACK
55,1401000.00,Stop
56,1410000.00,Start
57,1414000.00,Address write: 18
58,1433000.00,Write
59,1436000.00,NACK
60,1440000.00,Stop
61,1449000.00,Start
62,1453000.00,Address write: 1A
63,1472000.00,Write
64,1474000.00,NACK
65,1479000.00,Stop
66,1488000.00,Start
67,1492000.00,Address write: 1C
68,1511000.00,Write
69,1513000.00,NACK
70,1518000.00,Stop
71,1527000.00,Start
72,1531000.00,Address write: 1E
73,1549000.00,Write
74,1552000.00,NACK
75,1557000.00,Stop
76,1566000.00,Start
77,1569000.00,Address write: 20
78,1588000.00,Write
79,1591000.00,NACK
80,1595000.00,Stop
81,1605000.00,Start
82,1608000.00,Address write: 22
83,1627000.00,Write
84,1630000.00,NACK
85,1634000.00,Stop
86,1644000.00,Start
87,1647000.00,Address write: 24
88,1666000.00,Write
89,1669000.00,NACK
90,1673000.00,Stop
91,1682000.00,Start
92,1686000.00,Address write: 26
93,1705000.00,Write
94,1708000.00,NACK
95,1712000.00,Stop
96,1721000.00,Start
97,1725000.00,Address write: 28
98,1744000.00,Write
99,1746000.00,NACK
100,1751000.00,Stop
101,1760000.00,Start
102,1764000.00,Address write: 2A
103,1783000.00,Write
104,1785000.00,NACK
105,1790000.00,Stop
106,1799000.00,Start
107,1803000.00,Address write: 2C
108,1821000.00,Write
109,1824000.00,NACK
110,1829000.00,Stop
111,1838000.00,Start
112,1841000.00,Address write: 2E
113,1860000.00,Write
114,1863000.00,NACK
115,1867000.00,Stop
116,1877000.00,Start
117,1880000.00,Address write: 30
118,1899000.00,Write
119,1902000.00,NACK
120,1906000.00,Stop
121,1916000.00,Start
122,1919000.00,Address write: 32
123,1938000.00,Write
124,1941000.00,NACK
125,1945000.00,Stop
126,1954000.00,Start
127,1958000.00,Address write: 34
128,1977000.00,Write
129,1980000.00,NACK
130,1984000.00,Stop
131,1994000.00,Start
